Restaurant_ID,Delivery_fee,Service_fee,Packaging_fee,Estimated_delivery_time,Average_delivery_time,Peak_hour_multiplier,Minimum_order,Cancellation_rate,Availability
RES000596,6.61,4.53,0.65,53,56,1.53,2.87,0.095,True
RES000597,0.07,3.73,0.88,42,44,2.07,15.31,0.022,False
RES000600,5.54,3.5,1.45,70,70,1.04,17.93,0.017,False
RES000602,7.3,4.59,0.2,55,55,1.98,18.81,0.1,True
RES000603,0.51,1.21,1.13,50,45,2.47,0.84,0.053,False
RES000604,9.21,4.41,0.66,39,48,1.23,4.87,0.052,True
RES000605,9.39,1.25,0.06,53,57,2.16,22.01,0.027,True
RES000607,8.52,4.86,1.11,58,56,1.76,18.8,0.005,True
RES000609,4.61,3.71,0.2,62,62,1.44,14.23,0.038,True
RES000612,0.3,2.29,1.8,26,25,2.5,1.6,0.054,True
RES000614,2.23,4.19,1.43,74,80,1.81,22.31,0.087,False
RES000617,8.36,4.29,0.34,58,54,1.66,11.74,0.018,True
RES000618,5.58,4.34,1.31,42,45,1.02,2.64,0.041,False
RES000619,9.33,1.06,1.36,55,51,2.39,19.96,0.089,False
RES000620,8.32,1.97,0.35,26,32,1.97,20.9,0.015,False
RES000621,1.28,3.85,0.98,66,75,1.16,7.3,0.004,False
RES000622,3.07,2.46,0.86,75,72,2.39,5.05,0.026,False
RES000624,9.43,1.86,0.57,51,49,1.64,21.12,0.023,True
RES000625,2.61,3.72,1.12,43,44,1.13,5.93,0.014,True
RES000629,6.88,4.05,0.62,88,92,1.83,0.41,0.014,True
RES000631,8.73,4.33,1.05,27,28,1.21,12.01,0.021,True
RES000632,8.56,2.37,1.51,20,25,1.55,8.93,0.083,False
RES000634,3.04,0.72,0.3,19,19,1.48,6.44,0.066,True
RES000635,4.76,3.92,0.07,26,33,1.37,18.74,0.076,False
RES000636,0.46,1.81,1.69,27,22,1.73,14.61,0.071,False
RES000639,7.44,2.16,0.72,36,39,1.35,10.64,0.044,False
RES000641,0.5,3.96,1.01,48,45,1.68,16.59,0.03,True
RES000642,4.62,3.84,1.5,73,80,1.99,13.76,0.05,False
RES000643,7.6,1.87,0.68,82,86,2.06,18.65,0.04,True
RES000644,7.93,1.19,1.74,52,54,1.54,8.91,0.06,True
RES000645,8.82,4.01,0.34,26,30,2.03,16.7,0.076,True
RES000647,2.46,1.03,1.92,63,63,1.8,6.69,0.043,True
RES000648,3.42,1.02,0.06,37,44,1.64,17.53,0.016,True
RES000650,9.73,1.4,0.34,44,41,1.34,21.91,0.02,True
RES000651,5.74,2.83,1.71,21,25,1.96,8.44,0.088,True
RES000652,4.48,4.44,1.85,54,50,1.01,19.48,0.016,True
RES000655,7.38,4.6,1.05,67,74,1.23,1.68,0.019,False
RES000656,3.31,1.55,1.27,74,69,1.99,1.31,0.077,True
RES000657,9.79,3.98,0.58,49,45,1.14,2.11,0.031,False
RES000658,2.78,0.98,1.92,69,66,1.17,15.25,0.071,False
RES000660,6.94,4.55,0.68,84,87,2.39,6.95,0.095,True
RES000663,6.36,4.01,1.51,86,94,1.4,9.83,0.043,False
RES000666,0.31,0.58,1.78,53,49,2.0,14.47,0.064,False
RES000667,3.6,0.99,0.51,15,13,1.58,24.17,0.065,False
RES000668,6.08,3.57,0.5,50,56,2.22,2.14,0.05,False
RES000672,6.35,4.97,1.95,53,58,1.9,0.78,0.096,True
RES000673,9.72,0.05,1.07,71,79,1.88,22.64,0.028,False
RES000674,8.14,0.03,1.67,90,89,2.02,2.78,0.075,True
RES000675,9.67,3.4,0.53,63,59,2.08,22.75,0.071,False
RES000676,7.94,0.44,0.85,27,37,2.24,17.4,0.01,False
RES000677,8.63,2.71,1.2,27,23,1.84,7.56,0.049,True
RES000678,4.98,1.51,0.69,38,41,1.2,0.52,0.089,True
RES000679,9.31,0.78,1.43,84,86,1.48,14.57,0.097,True
RES000680,8.04,1.28,1.08,53,55,1.19,10.93,0.044,True
RES000682,7.8,3.28,1.38,58,65,2.06,8.74,0.093,False
RES000683,7.14,0.49,1.04,19,27,1.25,24.39,0.033,True
RES000684,3.0,2.74,1.86,89,98,1.23,13.51,0.071,True
RES000685,8.12,1.72,1.78,78,82,2.0,9.84,0.05,False
RES000686,3.78,4.57,1.13,35,42,1.68,2.03,0.004,True
RES000687,9.75,3.63,1.86,20,21,1.97,10.96,0.062,True
RES000691,9.12,4.87,0.14,80,84,1.8,4.36,0.024,False
RES000694,5.43,4.25,1.62,41,48,1.23,12.4,0.05,False
RES000696,2.94,3.4,1.61,88,88,1.27,15.69,0.057,True
RES000698,0.05,2.29,0.98,19,15,1.07,8.75,0.075,False
RES000699,1.25,3.83,1.33,42,39,1.93,2.69,0.059,False
RES000700,4.06,3.3,1.84,48,53,2.05,14.02,0.03,False
RES000701,6.73,4.88,0.86,27,25,2.18,20.19,0.044,True
RES000706,8.01,3.3,1.34,40,39,2.45,24.27,0.041,True
RES000707,9.93,3.0,1.21,76,74,1.84,0.88,0.098,False
RES000708,3.86,4.9,0.88,48,50,2.17,11.23,0.024,False
RES000710,7.74,2.49,0.47,43,51,1.5,15.24,0.065,False
RES000711,9.69,2.35,1.24,28,25,1.19,23.98,0.068,True
RES000712,1.33,4.87,1.83,65,68,1.14,24.58,0.02,True
RES000713,4.56,4.54,0.07,88,96,2.28,3.49,0.019,False
RES000714,3.62,1.35,1.46,67,77,2.47,5.03,0.06,False
RES000715,4.04,2.2,0.81,36,44,1.25,14.88,0.04,False
RES000716,1.86,4.75,0.86,20,28,2.2,11.38,0.054,True
RES000718,5.82,0.13,0.06,35,34,2.31,1.46,0.002,True
RES000722,3.93,1.63,0.99,37,33,2.12,6.05,0.084,True
RES000723,5.36,1.39,1.62,67,67,1.15,20.79,0.055,False
RES000724,9.85,3.86,0.15,52,53,2.38,14.6,0.02,False
RES000725,1.78,3.01,0.34,40,35,1.51,18.22,0.04,True
RES000726,6.31,0.2,1.45,51,47,1.86,12.59,0.007,True
RES000729,1.83,1.82,0.32,25,32,1.38,13.72,0.031,False
RES000731,6.19,2.33,1.94,78,86,2.45,17.55,0.069,True
RES000733,2.12,0.73,1.05,60,68,1.77,9.17,0.098,True
RES000736,3.18,4.64,1.69,50,51,1.15,4.0,0.016,False
RES000737,3.18,1.25,1.86,31,35,2.13,3.35,0.03,False
RES000738,2.08,0.48,1.82,81,76,1.94,22.65,0.074,False
RES000739,5.86,3.43,1.04,58,61,2.05,16.37,0.08,False
RES000740,7.7,2.4,1.87,63,60,1.9,22.99,0.068,True
RES000742,2.78,0.74,0.78,22,25,1.12,15.4,0.076,False
RES000743,3.91,1.8,0.05,43,51,2.46,21.84,0.044,False
RES000745,0.94,3.17,1.98,53,51,1.22,5.61,0.009,False
RES000746,1.61,2.87,1.69,56,65,2.21,14.87,0.039,True
RES000748,1.42,2.86,1.05,19,26,1.41,18.47,0.099,False
RES000749,0.17,3.43,1.1,53,55,1.56,13.25,0.083,False
RES000752,1.45,0.24,1.2,47,45,1.81,24.46,0.043,True
RES000753,7.67,0.8,1.1,38,46,1.03,10.6,0.006,False
RES000755,4.98,3.73,0.95,79,77,1.72,1.97,0.081,False
RES000758,8.44,1.2,1.29,28,37,1.42,20.63,0.027,False
RES000761,7.05,3.26,0.4,80,87,1.73,10.5,0.013,True
RES000762,3.03,1.33,0.83,62,66,1.42,6.56,0.086,True
RES000766,9.43,4.5,0.12,23,31,1.9,18.97,0.086,True
RES000767,4.37,3.54,1.61,87,91,2.11,16.54,0.064,False
RES000768,6.45,1.81,0.9,90,85,2.36,2.14,0.062,False
RES000769,2.14,3.98,1.78,83,78,1.62,18.26,0.04,False
RES000770,4.0,4.82,0.86,46,51,1.44,22.03,0.021,False
RES000771,3.61,2.8,1.59,80,87,1.52,22.25,0.017,False
RES000773,7.93,3.94,1.49,24,24,1.21,5.47,0.035,False
RES000774,0.5,0.96,0.86,68,68,2.45,18.97,0.007,True
RES000776,1.93,0.19,0.03,29,33,2.48,18.38,0.094,True
RES000777,2.91,4.95,0.73,75,76,2.26,19.35,0.097,False
RES000779,1.65,0.43,0.31,61,63,1.76,23.12,0.085,False
RES000780,3.64,2.53,1.95,39,47,1.73,8.56,0.064,False
RES000781,7.8,0.95,1.37,59,59,1.31,4.12,0.009,True
RES000782,3.14,1.22,1.36,48,47,1.89,11.81,0.028,True
RES000784,2.28,1.38,1.36,16,23,1.71,15.49,0.04,True
RES000785,3.67,1.13,0.22,49,53,2.06,19.51,0.096,False
RES000786,5.12,3.18,1.84,51,51,1.36,4.38,0.078,False
RES000787,1.32,1.1,0.93,17,21,2.12,2.13,0.042,False
RES000788,1.74,1.76,0.86,44,47,1.61,22.24,0.084,True
RES000790,1.32,4.13,0.46,64,72,1.29,2.69,0.073,False
RES000795,6.06,0.69,1.72,86,96,1.91,11.16,0.094,False
RES000796,5.56,4.4,0.31,46,44,1.64,19.7,0.073,False
RES000798,3.16,4.9,1.64,24,32,1.44,2.61,0.095,False
RES000799,8.89,1.61,0.74,44,53,2.21,16.79,0.028,True
RES000801,9.84,2.4,0.78,23,30,1.39,17.0,0.042,False
RES000803,6.95,3.95,0.06,44,46,1.55,17.08,0.095,False
RES000804,1.75,3.68,0.86,47,43,1.32,20.33,0.034,False
RES000805,3.73,1.47,0.51,62,70,1.17,22.99,0.013,False
RES000807,9.31,0.09,0.24,35,39,1.75,4.67,0.098,False
RES000809,3.36,1.06,1.71,81,83,1.95,3.63,0.079,False
RES000810,8.43,4.21,1.45,76,74,1.88,0.35,0.084,False
RES000811,3.57,3.18,1.82,88,92,1.17,4.13,0.014,True
RES000814,9.77,3.05,1.64,72,80,2.05,6.44,0.023,False
RES000816,0.92,2.27,0.79,73,68,1.06,9.01,0.048,False
RES000817,6.87,1.21,0.1,83,83,2.13,14.94,0.025,False
RES000818,6.34,3.37,0.85,73,81,1.1,19.53,0.095,True
RES000820,5.01,3.86,0.94,69,70,1.44,10.35,0.052,True
RES000823,0.99,0.44,0.48,20,28,1.09,22.78,0.071,True
RES000824,6.04,0.37,1.89,84,83,1.04,3.36,0.089,True
RES000827,3.25,4.32,1.27,39,34,1.56,9.14,0.016,True
RES000828,1.91,3.17,1.78,27,32,1.82,10.83,0.049,False
RES000829,6.24,0.18,1.08,31,33,2.14,16.59,0.06,False
RES000830,3.3,3.96,0.62,45,50,2.25,22.03,0.055,False
RES000831,7.1,4.15,0.37,41,45,2.31,21.91,0.046,False
RES000833,4.8,0.96,0.57,58,67,1.64,20.31,0.023,True
RES000835,7.32,2.54,0.78,50,54,1.83,0.87,0.078,False
RES000838,4.41,3.14,1.72,60,64,2.29,19.65,0.071,False
RES000839,5.64,3.09,1.53,55,60,2.42,8.71,0.092,True
RES000842,7.04,3.72,0.42,30,33,1.34,20.95,0.013,False
RES000847,5.9,2.03,0.6,42,52,1.33,22.0,0.055,True
RES000848,5.33,4.13,1.64,33,37,1.6,23.17,0.02,True
RES000851,8.53,1.56,0.14,79,86,1.87,13.55,0.097,True
RES000852,8.11,1.55,0.59,34,34,1.86,9.89,0.002,True
RES000853,5.79,4.35,0.89,85,87,1.68,4.0,0.013,True
RES000854,5.81,1.61,0.49,58,55,1.22,6.52,0.002,True
RES000856,8.65,0.29,1.77,88,95,1.14,24.37,0.03,True
RES000857,9.51,0.25,0.75,62,60,2.31,17.22,0.039,False
RES000858,7.72,1.8,1.84,54,57,2.19,21.88,0.08,True
RES000859,4.28,0.96,1.02,61,69,1.58,3.87,0.031,False
RES000860,2.67,0.14,0.3,36,34,2.33,24.95,0.004,True
RES000861,1.81,1.94,0.43,21,18,2.07,12.62,0.045,False
RES000863,0.94,0.95,0.07,84,83,1.37,7.49,0.095,True
RES000865,5.87,2.08,1.17,42,44,1.81,5.44,0.034,True
RES000866,2.02,3.71,0.37,41,42,2.23,5.56,0.005,False
RES000868,1.66,0.64,0.77,50,58,1.28,17.85,0.039,True
RES000870,3.41,3.89,0.86,29,38,1.34,17.95,0.051,True
RES000872,7.96,1.3,0.88,19,20,2.23,0.83,0.086,True
RES000873,0.79,3.22,1.08,89,98,1.28,3.72,0.02,False
RES000874,1.52,4.59,1.07,82,81,1.41,10.11,0.059,True
RES000875,7.47,3.93,0.57,44,48,2.24,15.71,0.006,True
RES000877,6.61,2.68,1.54,46,51,2.48,0.45,0.037,True
RES000878,1.88,1.94,1.0,23,25,2.29,4.7,0.027,True
RES000880,0.26,3.76,0.02,28,25,1.85,16.3,0.048,False
RES000881,8.92,0.8,1.03,18,16,1.6,16.24,0.024,True
RES000882,8.18,1.92,1.04,70,77,2.12,14.97,0.002,False
RES000883,6.83,3.68,1.48,31,41,1.44,23.01,0.081,True
RES000884,0.13,4.62,0.66,73,71,1.77,7.28,0.032,False
RES000885,9.56,4.07,0.08,77,79,2.26,9.58,0.007,True
RES000886,1.88,3.0,1.49,78,81,1.28,17.33,0.099,False
RES000887,5.54,2.76,1.85,61,57,2.13,23.72,0.037,False
RES000890,3.12,3.62,0.59,42,41,2.24,6.09,0.041,False
RES000891,9.27,4.69,0.04,72,79,1.28,18.06,0.028,True
RES000892,0.81,4.5,0.61,82,77,2.35,18.92,0.065,True
RES000896,9.36,4.17,0.09,80,87,2.16,7.82,0.029,False
RES000897,5.73,3.68,0.72,47,44,2.21,16.91,0.092,False
RES000898,6.23,0.3,0.72,43,53,1.99,6.53,0.043,True
RES000900,3.11,1.69,1.5,58,55,1.4,5.82,0.003,False
RES000902,3.7,2.06,1.62,74,84,1.36,3.72,0.057,True
RES000903,8.92,0.12,0.84,30,34,2.46,19.36,0.01,False
RES000904,7.52,1.78,1.52,82,90,2.47,17.61,0.077,False
RES000905,8.22,0.85,1.39,34,41,1.25,0.61,0.099,True
RES000907,2.24,4.62,0.93,66,64,1.29,20.9,0.03,False
RES000909,5.57,2.88,0.81,29,35,1.06,7.29,0.099,False
RES000910,9.77,4.02,1.12,42,50,1.6,23.06,0.078,True
RES000911,3.06,4.52,0.05,71,72,2.48,22.87,0.034,False
RES000912,9.94,0.92,0.65,26,34,1.97,1.66,0.044,True
RES000913,3.0,3.86,1.53,69,65,1.58,19.55,0.031,False
RES000914,0.99,0.35,0.83,53,56,2.4,6.52,0.098,False
RES000915,5.33,4.32,0.84,20,29,2.3,17.62,0.07,True
RES000916,3.79,1.62,0.33,38,33,1.37,8.13,0.084,True
RES000923,9.47,3.71,0.39,77,87,2.28,14.87,0.051,False
RES000924,1.03,2.51,1.84,75,76,1.81,11.21,0.002,True
RES000926,9.3,4.07,0.64,21,30,2.07,16.46,0.061,False
RES000927,5.22,2.47,0.21,53,52,2.36,20.07,0.018,False
RES000929,4.84,2.83,0.3,23,26,1.61,20.17,0.087,True
RES000930,1.41,3.59,1.15,77,75,2.35,2.8,0.073,False
RES000936,3.46,2.35,0.29,38,41,1.1,4.5,0.092,True
RES000937,4.91,1.15,0.58,89,84,1.63,3.94,0.012,False
RES000938,8.27,4.29,0.12,21,21,1.35,1.89,0.079,True
RES000942,5.3,3.27,0.24,76,74,1.6,15.81,0.072,False
RES000944,7.5,0.86,0.7,24,21,1.05,13.84,0.027,True
RES000945,3.17,2.74,1.99,39,49,1.18,18.79,0.087,False
RES000946,5.79,0.63,0.05,77,73,1.93,22.08,0.033,True
RES000950,0.98,3.92,1.43,85,92,2.14,6.62,0.017,False
RES000951,1.7,3.55,0.98,60,64,2.26,8.67,0.048,True
RES000955,3.08,2.28,1.72,90,96,2.1,2.53,0.091,False
RES000956,7.38,0.61,0.76,45,52,1.85,2.8,0.079,True
RES000958,7.37,0.66,0.31,60,68,2.28,12.19,0.095,False
RES000960,5.49,2.25,1.85,23,25,2.42,16.59,0.036,True
RES000962,7.88,4.62,1.39,44,49,1.86,2.12,0.046,True
RES000963,4.67,4.21,1.11,50,52,1.49,21.14,0.05,False
RES000964,1.44,1.31,0.36,20,20,1.76,16.29,0.098,False
RES000965,2.95,4.47,1.78,61,63,1.83,21.8,0.094,False
RES000966,3.52,4.79,0.35,58,61,2.31,15.04,0.008,True
RES000967,5.26,2.33,1.54,23,30,1.56,7.98,0.061,False
RES000968,4.86,2.67,1.65,43,52,2.17,0.07,0.042,True
RES000969,7.97,0.79,1.6,22,27,1.26,23.66,0.082,True
RES000970,6.59,3.44,0.2,50,58,1.34,14.26,0.047,False
RES000974,7.0,1.7,1.82,46,47,2.13,21.47,0.067,True
RES000975,0.56,3.9,1.9,29,32,2.39,21.41,0.098,True
RES000976,3.64,3.37,1.81,48,47,1.15,20.08,0.065,False
RES000977,1.15,0.22,0.43,59,57,1.93,16.19,0.073,True
RES000978,1.78,1.02,1.2,64,72,2.43,8.19,0.026,False
RES000979,1.18,0.67,0.89,65,73,1.08,0.17,0.078,True
RES000981,0.08,0.45,0.66,77,84,2.47,13.25,0.024,False
RES000984,5.08,2.38,0.26,25,25,1.3,14.33,0.002,True
RES000986,6.45,3.36,1.48,50,60,2.12,16.9,0.072,True
RES000987,6.14,2.97,0.89,26,29,1.61,19.46,0.016,False
RES000988,3.97,4.49,1.14,84,79,1.92,8.32,0.019,False
RES000990,6.35,4.66,1.22,83,81,1.45,13.38,0.028,True
RES000992,3.09,1.57,1.57,52,47,1.62,2.32,0.08,False
RES000993,5.86,0.09,1.72,79,87,1.67,16.43,0.042,False
RES000996,2.76,3.42,1.96,59,69,2.04,6.81,0.08,False
RES000999,1.63,3.52,1.39,47,47,1.82,2.07,0.033,True
RES001002,1.16,1.28,1.39,63,71,1.15,20.3,0.001,True
RES001004,4.9,0.52,1.52,86,86,1.59,9.93,0.001,True
RES001005,6.0,4.67,0.98,83,78,1.12,3.0,0.091,True
RES001006,0.43,1.94,0.19,29,33,1.17,19.28,0.061,True
RES001007,0.17,1.14,1.48,36,32,1.19,3.66,0.089,False
RES001008,7.93,4.41,0.09,31,38,1.09,10.09,0.088,False
RES001009,0.6,3.99,1.43,89,91,1.54,21.41,0.02,False
RES001010,2.06,2.85,0.26,74,78,2.25,16.35,0.056,True
RES001011,8.93,3.48,1.89,23,33,1.35,4.05,0.054,True
RES001012,7.2,0.49,0.16,45,54,2.07,4.04,0.032,True
RES001013,0.9,4.16,0.25,87,88,2.23,1.74,0.023,True
RES001015,7.03,2.95,1.11,85,80,1.93,24.39,0.04,True
RES001016,5.29,3.4,1.36,48,50,1.66,15.22,0.02,False
RES001017,7.99,2.43,0.53,74,72,1.35,16.84,0.029,False
RES001018,8.49,3.31,1.75,45,47,1.61,3.04,0.022,False
RES001019,0.65,0.69,0.01,82,83,2.17,10.72,0.029,True
RES001020,0.43,1.28,1.11,36,33,1.39,14.29,0.056,True
RES001022,3.78,3.16,1.78,30,40,1.19,13.18,0.094,False
RES001024,2.94,4.68,0.41,52,49,2.15,8.96,0.047,True
RES001025,7.15,0.64,0.39,28,38,1.1,23.49,0.028,True
RES001026,7.51,4.06,0.98,84,87,2.25,14.77,0.071,False
RES001027,3.81,1.98,0.0,73,69,1.19,20.9,0.069,True
RES001028,2.16,2.93,1.98,50,55,1.76,9.7,0.041,True
RES001029,5.51,2.26,1.44,65,66,1.74,21.52,0.04,True
RES001030,4.51,3.07,1.19,76,82,1.09,12.34,0.037,True
RES001032,8.75,3.94,0.67,45,50,2.23,9.56,0.019,True
RES001035,8.76,1.06,1.23,30,35,1.62,18.26,0.087,True
RES001037,1.07,0.05,1.04,52,53,1.28,9.92,0.003,False
RES001038,7.53,3.18,0.29,70,77,2.07,14.46,0.086,False
RES001043,8.15,0.91,0.65,80,75,1.24,3.3,0.084,True
RES001045,0.86,3.64,0.74,82,85,1.26,6.33,0.057,True
RES001046,0.7,1.33,0.42,84,90,1.12,24.34,0.025,False
RES001048,5.98,4.32,1.04,53,63,1.56,8.54,0.097,False
RES001049,8.08,2.15,1.09,67,63,1.39,3.66,0.044,False
RES001051,6.57,1.5,0.16,37,40,1.96,2.55,0.073,True
RES001052,3.9,4.82,0.59,89,97,1.45,6.29,0.059,False
RES001054,7.64,0.35,0.02,24,24,2.45,14.41,0.015,False
RES001056,5.63,4.91,1.91,78,86,2.41,19.1,0.051,False
RES001057,9.66,3.06,0.95,69,77,1.52,6.39,0.086,True
RES001059,6.85,2.89,1.53,72,74,2.18,0.11,0.085,True
RES001061,1.34,4.07,1.46,44,44,2.47,14.64,0.051,False
RES001062,0.32,2.67,0.03,50,53,1.94,3.44,0.083,False
RES001063,9.4,0.11,1.63,31,41,1.5,5.6,0.002,True
RES001064,3.26,0.74,0.52,54,56,1.74,19.94,0.039,False
RES001066,5.25,4.1,1.23,82,84,2.48,6.44,0.085,True
RES001067,7.05,0.93,0.44,59,54,2.41,10.14,0.068,True
RES001068,2.16,2.84,0.11,79,75,2.11,1.46,0.023,False
RES001069,8.08,1.77,0.91,73,83,1.81,24.33,0.012,False
RES001070,2.11,1.71,0.92,65,70,1.29,0.71,0.034,False
RES001075,3.35,2.48,1.42,28,36,2.1,24.28,0.009,False
RES001078,8.92,3.57,0.43,26,28,1.57,13.14,0.064,True
RES001080,4.66,0.39,0.0,66,62,1.68,7.43,0.082,False
RES001081,3.43,0.56,0.17,41,51,1.43,16.77,0.025,True
RES001083,1.93,3.96,0.34,33,41,2.29,8.07,0.093,False
RES001084,2.78,4.87,1.13,84,92,1.8,4.24,0.091,False
RES001085,1.08,4.69,1.78,34,39,2.25,5.78,0.057,False
RES001086,3.53,2.34,0.78,66,70,1.44,14.49,0.017,False
RES001089,4.16,3.65,0.88,58,58,2.13,22.52,0.035,True
RES001092,0.42,3.48,1.32,67,67,1.92,13.9,0.057,True
RES001093,6.31,0.92,0.51,37,39,1.0,12.7,0.021,True
RES001094,6.05,3.94,0.11,45,50,1.03,2.0,0.064,False
RES001096,3.47,4.25,1.28,63,66,1.15,5.27,0.016,True
RES001097,1.48,4.15,0.19,43,40,2.39,1.9,0.042,False
RES001098,6.25,1.88,1.61,84,81,1.49,22.59,0.068,False
RES001100,7.33,4.94,0.51,46,43,2.46,6.76,0.036,False
RES001101,0.39,2.06,1.35,54,63,1.04,24.96,0.099,False
RES001103,0.41,1.77,0.69,55,63,1.97,2.28,0.065,False
RES001105,5.83,1.32,0.67,30,40,1.88,0.58,0.044,True
RES001106,4.14,4.21,0.52,27,31,2.19,21.48,0.068,False
RES001107,3.1,4.19,0.99,75,77,1.28,17.91,0.006,False
RES001108,8.49,3.26,1.51,33,36,1.0,2.91,0.069,False
RES001110,7.95,2.25,1.81,29,24,1.3,2.27,0.08,True
RES001111,0.42,1.71,1.79,48,53,1.84,7.19,0.034,False
RES001112,8.52,3.39,1.11,86,85,1.76,4.71,0.03,False
RES001113,1.13,2.65,1.72,22,32,1.02,6.05,0.064,False
RES001117,8.7,4.83,1.69,89,90,2.38,1.49,0.084,True
RES001118,6.18,2.28,0.18,24,21,2.36,24.43,0.095,True
RES001119,8.76,1.2,0.62,28,29,2.38,5.66,0.019,True
RES001120,0.01,4.77,1.16,84,91,2.49,11.65,0.023,False
RES001121,7.68,3.64,1.02,57,52,1.63,2.73,0.089,False
RES001122,7.63,4.82,0.33,77,74,2.49,18.86,0.07,True
RES001123,7.65,3.38,0.46,74,78,2.36,7.59,0.032,False
RES001125,4.11,1.74,0.43,16,12,1.61,3.67,0.027,False
RES001126,7.1,0.53,1.15,15,23,2.27,11.38,0.098,False
RES001128,5.33,2.51,1.64,39,45,2.32,9.69,0.095,False
RES001129,8.99,1.15,0.47,27,33,1.21,10.7,0.096,True
RES001130,8.59,2.26,0.84,74,70,1.85,10.64,0.02,False
RES001132,6.24,1.31,0.4,59,66,1.57,24.95,0.096,True
RES001133,0.43,1.11,0.88,76,77,1.22,24.2,0.076,True
RES001135,2.89,0.4,1.39,49,45,2.31,14.82,0.02,True
RES001136,6.64,4.78,1.1,57,60,1.71,23.07,0.083,True
RES001137,7.44,3.43,1.36,90,87,1.93,9.72,0.022,True
RES001139,7.15,0.41,0.11,20,20,2.14,20.58,0.079,False
RES001140,5.34,1.56,0.74,74,74,1.43,7.09,0.008,False
RES001141,2.68,4.91,1.55,84,82,2.0,17.75,0.057,False
RES001143,1.44,3.82,1.84,88,84,1.95,19.32,0.099,True
RES001144,1.84,4.59,1.16,60,65,1.76,1.58,0.084,False
RES001146,0.33,2.89,0.53,89,99,2.25,0.82,0.012,True
RES001147,4.88,2.25,0.63,31,33,2.47,0.39,0.09,True
RES001148,9.31,0.7,0.27,16,12,1.48,20.39,0.015,False
RES001149,3.78,2.8,0.22,58,63,2.42,23.18,0.094,True
RES001151,8.15,2.47,1.87,89,95,1.63,1.53,0.049,True
RES001152,7.7,4.43,0.48,21,22,1.14,14.19,0.001,True
RES001154,4.76,3.8,1.73,75,72,1.59,20.97,0.064,True
RES001155,1.38,0.4,1.07,19,21,1.24,5.11,0.054,True
RES001156,8.22,1.66,1.66,30,30,1.89,11.37,0.083,False
RES001157,1.69,0.41,0.04,44,43,2.5,5.29,0.003,True
RES001158,1.17,1.61,1.34,74,75,1.86,8.64,0.075,True
RES001159,3.78,0.13,0.94,38,48,1.24,0.59,0.008,True
RES001160,6.65,3.42,0.15,84,91,1.11,2.06,0.046,True
RES001161,4.95,3.71,1.8,17,20,1.84,10.55,0.082,True
RES001163,6.17,2.96,1.75,86,81,1.63,19.25,0.021,True
RES001164,7.75,3.67,0.43,71,75,1.28,10.03,0.071,True
RES001165,2.21,0.8,0.79,46,52,1.24,4.04,0.069,False
RES001166,1.71,2.03,0.42,70,77,2.35,18.47,0.099,False
RES001167,8.99,2.63,0.69,40,49,1.12,1.25,0.088,True
RES001168,1.78,4.14,1.67,55,61,1.56,7.8,0.042,False
RES001170,3.16,1.94,0.68,58,63,2.01,13.55,0.066,False
RES001171,1.47,0.5,1.49,63,66,1.98,12.44,0.07,False
RES001172,8.68,2.3,1.62,83,85,1.82,13.28,0.051,False
RES001174,6.94,2.58,1.47,80,89,1.57,7.15,0.015,True
RES001175,8.51,2.3,0.53,39,47,2.28,0.61,0.003,False
RES001177,6.62,3.23,0.72,47,51,1.74,22.54,0.052,True
RES001178,5.44,2.39,1.23,55,63,1.1,0.4,0.076,True
RES001180,3.14,2.28,1.0,76,76,1.92,24.46,0.012,True
RES001181,6.78,0.37,1.09,62,72,2.29,22.81,0.048,True
RES001183,9.84,0.73,0.84,29,30,2.4,8.26,0.097,True
RES001184,8.57,1.19,1.07,64,73,1.08,2.67,0.095,False
RES001185,4.57,3.01,0.37,51,50,1.05,5.27,0.045,False
RES001186,2.7,3.12,1.9,48,52,1.37,16.54,0.002,False
RES001187,2.36,3.35,0.25,69,74,1.7,23.59,0.093,False
RES001189,6.29,3.15,0.33,40,39,1.82,19.26,0.003,False
RES001190,0.41,1.8,0.67,18,22,1.26,10.8,0.013,False
RES001191,0.39,2.22,1.85,15,23,1.07,17.68,0.065,True
RES001196,4.69,2.79,0.78,69,78,2.29,18.66,0.032,True
RES001199,9.21,4.35,0.44,59,61,1.52,23.33,0.076,True
RES001201,9.55,4.79,1.02,33,37,1.02,7.47,0.045,False
RES001203,4.44,4.22,1.44,19,22,1.69,5.7,0.093,False
RES001204,8.53,3.87,1.82,78,75,2.39,21.79,0.013,False
RES001206,2.42,0.04,0.1,41,45,1.39,5.06,0.023,True
RES001207,3.52,0.62,0.85,77,79,1.18,15.61,0.098,False
RES001208,2.95,1.18,0.47,38,46,1.59,19.99,0.06,False
RES001209,4.73,0.17,1.31,16,20,1.82,18.02,0.092,True
RES001210,3.99,2.78,1.2,78,84,1.35,6.22,0.024,False
RES001212,4.54,1.24,1.4,68,70,1.41,20.21,0.034,False
RES001213,4.0,0.87,0.35,58,54,2.06,1.28,0.009,True
RES001214,1.31,3.26,1.64,24,22,2.04,22.21,0.071,False
RES001215,4.87,0.32,1.3,36,39,2.01,24.28,0.074,False
RES001216,7.28,1.98,1.25,33,43,1.82,5.64,0.082,True
RES001217,6.23,3.96,0.89,81,76,2.31,22.72,0.091,False
