Restaurant_ID,Average_menu_price,Most_common_cuisine,Average_delivery_time,Popularity_score,Estimated_value_score
RES000605,43.29,Chinese,57,35.3,6.3
RES000606,76.55,Chinese,,37.1,3.9
RES000607,22.93,Thai,56,8.4,2.4
RES000608,41.51,Brazilian,,98.9,9.9
RES000609,63.57,Brazilian,62,90.0,4.7
RES000610,111.43,Indian,,91.7,3.1
RES000611,18.65,Mediterranean,,42.7,4.4
RES000612,79.78,Mexican,25,11.9,1.5
RES000613,107.45,Mediterranean,,30.6,6.2
RES000614,70.79,Brazilian,80,21.6,5.7
RES000615,24.22,Brazilian,,98.3,1.1
RES000616,77.76,French,,38.7,2.9
RES000617,104.07,Italian,54,61.4,2.5
RES000618,77.33,Thai,45,63.1,4.2
RES000619,87.04,Brazilian,51,55.7,9.4
RES000620,81.23,Italian,32,98.8,9.4
RES000621,71.07,Thai,75,99.7,2.7
RES000622,36.06,Thai,72,75.3,5.4
RES000623,69.84,Italian,,61.3,8.2
RES000624,86.72,Burger,49,82.7,4.5
RES000625,36.97,Burger,44,50.9,4.1
RES000626,66.49,Japanese,,78.3,9.6
RES000627,78.01,Pizza,,68.3,2.7
RES000628,51.72,Brazilian,,26.2,6.3
RES000629,41.85,Japanese,92,31.8,9.4
RES000630,20.68,Mediterranean,,36.9,1.6
RES000631,48.61,Mexican,28,52.6,2.6
RES000632,71.16,Indian,25,95.9,3.1
RES000633,88.09,Indian,,21.5,2.2
RES000634,85.11,Indian,19,73.0,9.0
RES000635,26.74,Brazilian,33,52.5,7.4
RES000636,24.4,Pizza,22,81.8,9.7
RES000637,49.28,Chinese,,23.9,5.0
RES000638,46.58,Mediterranean,,34.3,9.9
RES000639,17.73,Japanese,39,75.0,7.3
RES000640,76.41,Brazilian,,31.3,6.3
RES000641,50.59,Mexican,45,30.4,5.5
RES000642,20.99,Brazilian,80,31.7,8.9
RES000643,23.05,Brazilian,86,20.8,4.8
RES000644,68.88,American,54,55.5,6.8
RES000645,58.95,Pizza,30,52.1,7.0
RES000646,23.75,French,,11.0,8.8
RES000647,20.54,French,63,72.2,8.3
RES000648,23.94,Italian,44,97.0,7.8
RES000649,77.22,Mexican,,39.7,0.9
RES000650,26.81,Thai,41,46.2,9.6
RES000651,85.65,Chinese,25,67.0,3.5
RES000652,39.57,Mexican,50,84.3,3.8
RES000653,53.42,Italian,,27.6,8.9
RES000654,80.27,Japanese,,6.4,5.2
RES000655,86.22,Indian,74,99.6,7.8
RES000656,27.76,American,69,73.3,6.8
RES000657,43.21,Mexican,45,59.7,9.0
RES000658,22.58,Burger,66,70.6,9.2
RES000659,22.94,Brazilian,,77.5,1.3
RES000660,60.57,Thai,87,90.1,6.0
RES000661,18.63,Burger,,76.9,1.5
RES000662,45.18,French,,27.0,1.6
RES000663,47.94,American,94,36.4,2.6
RES000664,75.73,Brazilian,,12.1,4.1
RES000665,23.15,French,,40.3,3.5
RES000666,18.92,Burger,49,0.7,1.9
RES000667,66.51,Pizza,13,23.1,5.3
RES000668,29.71,Japanese,56,90.7,0.1
RES000669,62.85,Pizza,,33.6,2.7
RES000670,22.41,Thai,,52.8,6.4
RES000671,20.35,Japanese,,90.4,3.8
RES000672,77.34,Italian,58,9.9,2.3
RES000673,93.57,Chinese,79,52.7,0.1
RES000674,77.29,Thai,89,47.3,4.6
RES000675,62.2,Japanese,59,7.5,8.3
RES000676,90.37,French,37,13.7,9.7
RES000677,91.87,Burger,23,26.6,2.1
RES000678,47.72,Mediterranean,41,34.7,3.6
RES000679,44.35,French,86,40.6,0.4
RES000680,94.63,Thai,55,87.2,7.9
RES000681,35.46,Mexican,,71.4,7.1
RES000682,44.92,Mexican,65,39.5,8.3
RES000683,104.43,Brazilian,27,81.1,6.3
RES000684,35.95,French,98,69.6,4.0
RES000685,44.04,Japanese,82,35.9,3.0
RES000686,26.24,Mexican,42,84.6,7.5
RES000687,67.06,Burger,21,26.0,4.2
RES000688,43.13,French,,93.7,2.7
RES000689,61.13,French,,18.5,8.8
RES000690,42.05,Chinese,,48.4,1.2
RES000691,90.92,Mediterranean,84,65.7,1.4
RES000692,61.68,French,,32.5,5.7
RES000693,22.77,Pizza,,55.7,9.0
RES000694,19.33,American,48,36.1,6.6
RES000695,18.62,Pizza,,52.6,3.5
RES000696,71.3,Mexican,88,61.8,9.2
RES000697,63.02,Chinese,,0.6,1.4
RES000698,45.44,French,15,8.8,8.9
RES000699,34.41,American,39,31.3,6.6
RES000700,81.74,American,53,13.0,6.9
RES000701,41.01,Pizza,25,84.0,0.4
RES000702,21.65,Thai,,71.5,0.7
RES000703,86.63,Italian,,78.3,0.4
RES000704,97.39,French,,53.3,4.6
RES000705,26.03,Japanese,,99.8,0.5
RES000706,77.57,American,39,45.8,1.9
RES000707,21.35,Indian,74,3.1,2.0
RES000708,24.46,Italian,50,42.8,6.2
RES000709,47.92,Thai,,41.6,1.1
RES000710,95.17,Pizza,51,9.6,3.4
RES000711,72.56,Indian,25,34.3,3.1
RES000712,18.58,Mediterranean,68,85.9,5.5
RES000713,67.71,Mediterranean,96,73.3,3.8
RES000714,55.78,Italian,77,42.0,9.5
RES000715,69.19,American,44,33.8,0.9
RES000716,24.97,Pizza,28,87.3,9.9
RES000717,95.18,Japanese,,36.6,3.3
RES000718,27.44,Pizza,34,36.4,3.5
RES000719,70.84,Thai,,85.0,7.9
RES000720,48.35,Thai,,31.0,6.0
RES000721,23.84,Mediterranean,,0.7,8.0
RES000722,64.86,Italian,33,61.7,1.4
RES000723,23.17,Burger,67,18.0,3.6
RES000724,26.01,Pizza,53,9.7,6.4
RES000725,33.97,Mediterranean,35,48.0,8.5
RES000726,71.34,Pizza,47,75.0,7.8
RES000727,98.93,Burger,,65.9,1.1
RES000728,75.94,Indian,,19.2,4.4
RES000729,43.48,Italian,32,98.4,1.0
RES000730,29.53,Italian,,50.3,7.1
RES000731,47.1,Burger,86,68.8,8.0
RES000732,45.69,Mexican,,26.2,7.5
RES000733,64.25,Mediterranean,68,60.8,4.7
RES000734,20.93,French,,58.7,0.4
RES000735,43.0,Burger,,90.3,3.3
RES000736,109.61,Burger,51,95.8,6.8
RES000737,23.07,Thai,35,65.7,6.0
RES000738,55.03,Thai,76,13.2,3.9
RES000739,95.68,Mediterranean,61,47.9,3.4
RES000740,20.34,Burger,60,19.4,0.9
RES000741,65.19,French,,37.4,5.4
RES000742,83.09,Indian,25,63.9,10.0
RES000743,99.71,Mexican,51,20.5,0.5
RES000744,121.43,Japanese,,37.8,8.0
RES000745,27.08,Italian,51,42.1,2.1
RES000746,43.5,Mediterranean,65,15.2,6.5
RES000747,60.27,Chinese,,66.3,7.9
RES000748,49.07,Chinese,26,92.4,0.3
RES000749,68.0,Pizza,55,3.9,1.9
RES000750,43.79,Chinese,,62.3,1.4
RES000751,60.96,Chinese,,88.8,6.9
RES000752,83.29,American,45,22.1,8.3
RES000753,25.4,Indian,46,80.7,2.9
RES000754,53.24,Pizza,,68.2,1.6
RES000755,54.94,Indian,77,7.0,1.9
RES000756,62.26,American,,87.9,0.5
RES000757,82.46,French,,48.0,3.5
RES000758,45.14,Mexican,37,10.6,3.4
RES000759,71.4,Mexican,,77.3,5.7
RES000760,88.57,Brazilian,,27.6,6.9
RES000761,23.71,Mexican,87,86.9,5.3
RES000762,78.86,Thai,66,7.4,2.2
RES000763,89.24,Pizza,,67.9,6.3
RES000764,43.95,Pizza,,32.4,6.0
RES000765,72.96,Japanese,,84.6,3.9
RES000766,53.33,Burger,31,56.5,9.3
RES000767,26.59,Indian,91,56.4,5.9
RES000768,74.12,Pizza,85,57.6,5.6
RES000769,47.18,Chinese,78,51.6,7.7
RES000770,67.04,American,51,25.1,2.5
RES000771,65.76,Thai,87,76.1,6.9
RES000772,42.01,Pizza,,1.6,9.9
RES000773,14.9,American,24,11.7,9.9
RES000774,39.5,Italian,68,58.4,3.3
RES000775,16.86,Chinese,,38.7,0.4
RES000776,24.04,Japanese,33,53.6,3.2
RES000777,31.64,Mediterranean,76,42.0,8.4
RES000778,19.61,Chinese,,97.5,0.3
RES000779,46.75,Thai,63,13.2,4.1
RES000780,37.85,Mediterranean,47,86.9,3.8
RES000781,68.47,Pizza,59,84.9,5.9
RES000782,28.28,American,47,59.2,7.5
RES000783,40.99,Burger,,91.7,8.9
RES000784,24.47,Thai,23,24.7,4.4
RES000785,91.72,Brazilian,53,71.1,2.1
RES000786,73.16,American,51,78.5,9.4
RES000787,48.32,Chinese,21,63.5,9.0
RES000788,92.42,Thai,47,69.1,2.1
RES000789,90.04,Mediterranean,,74.9,4.2
RES000790,21.8,Indian,72,92.2,7.0
RES000791,90.25,French,,31.0,8.0
RES000792,52.54,Mediterranean,,77.1,8.9
RES000793,68.18,Japanese,,67.7,4.1
RES000794,45.62,Pizza,,86.3,0.1
RES000795,70.19,Italian,96,56.3,9.5
RES000796,107.89,Indian,44,88.1,5.7
RES000797,50.55,Japanese,,15.5,9.6
RES000798,51.07,Pizza,32,2.0,8.2
RES000799,39.06,Thai,53,58.0,2.0
RES000800,70.09,Mexican,,45.5,2.4
RES000801,21.94,Burger,30,91.7,3.4
RES000802,44.15,Indian,,34.1,7.5
RES000803,18.12,Brazilian,46,16.6,3.8
RES000804,81.92,American,43,33.5,2.0
RES000805,69.2,Chinese,70,87.7,2.9
RES000806,22.64,Indian,,84.9,0.6
RES000807,43.23,Mediterranean,39,8.0,8.0
RES000808,44.92,Japanese,,67.6,1.5
RES000809,102.87,Brazilian,83,43.2,9.5
RES000810,82.18,Italian,74,97.3,6.0
RES000811,21.21,Burger,92,58.4,7.3
RES000812,83.87,Chinese,,73.7,0.8
RES000813,91.32,Thai,,70.9,3.2
RES000814,47.22,Mexican,80,38.6,3.9
RES000815,61.47,Chinese,,59.4,3.2
RES000816,20.39,Mediterranean,68,6.2,6.2
RES000817,108.52,Italian,83,79.5,5.5
RES000818,94.39,American,81,87.5,3.1
RES000819,49.56,Italian,,34.1,4.3
RES000820,97.24,French,70,5.3,0.0
RES000821,23.32,Mediterranean,,84.3,4.8
RES000822,51.81,Mexican,,55.5,6.2
RES000823,88.22,Chinese,28,5.1,8.5
RES000824,70.61,Thai,83,60.8,9.6
RES000825,54.15,Japanese,,62.3,4.0
RES000826,61.9,Pizza,,85.1,4.0
RES000827,24.73,Pizza,34,16.1,5.6
RES000828,67.92,Indian,32,3.8,8.3
RES000829,67.46,Thai,33,46.7,5.8
RES000830,49.4,Burger,50,63.9,0.8
RES000831,69.59,Indian,45,12.7,3.5
RES000832,48.68,Indian,,1.5,2.0
RES000833,40.26,Japanese,67,88.8,0.9
RES000834,40.27,Burger,,9.5,3.3
RES000835,93.4,Italian,54,52.6,3.1
RES000836,22.56,Italian,,31.8,8.0
RES000837,18.8,American,,51.2,9.6
RES000838,51.53,Mexican,64,21.7,3.8
RES000839,43.42,Brazilian,60,75.3,2.9
RES000840,24.12,Italian,,61.6,9.4
RES000841,76.53,Thai,,79.1,7.8
RES000842,45.41,Japanese,33,19.6,9.2
RES000843,84.25,Japanese,,29.4,7.9
RES000844,43.78,Mediterranean,,7.4,7.6
RES000845,103.84,Mexican,,80.3,9.2
RES000846,24.17,Brazilian,,12.5,10.0
RES000847,84.85,Mexican,52,30.8,9.6
RES000848,21.14,Mexican,37,87.4,2.8
RES000849,103.05,French,,43.9,6.1
RES000850,43.92,Chinese,,35.3,9.3
RES000851,76.25,Brazilian,86,63.9,6.9
RES000852,63.32,Mediterranean,34,89.2,6.5
RES000853,82.33,Indian,87,97.4,3.5
RES000854,65.59,Indian,55,30.6,8.2
RES000855,22.25,Mexican,,74.8,2.5
RES000856,24.06,French,95,3.7,6.5
RES000857,75.26,Pizza,60,81.0,8.5
RES000858,21.59,Burger,57,58.1,2.9
RES000859,62.22,Italian,69,57.9,8.9
RES000860,87.36,Pizza,34,44.5,5.5
RES000861,87.77,Brazilian,18,59.7,8.7
RES000862,19.11,Japanese,,48.2,2.7
RES000863,18.12,Indian,83,37.1,5.7
RES000864,85.87,Brazilian,,6.7,6.9
RES000865,81.06,American,44,92.5,5.8
RES000866,80.71,Mediterranean,42,14.7,7.8
RES000867,84.75,Pizza,,41.8,1.0
RES000868,21.51,Pizza,58,58.3,5.2
RES000869,23.26,Brazilian,,74.5,5.4
RES000870,91.98,French,38,19.2,1.1
RES000871,40.48,Italian,,26.0,1.8
RES000872,23.12,Mediterranean,20,49.8,4.8
RES000873,101.25,French,98,76.1,5.9
RES000874,21.45,Brazilian,81,8.4,8.1
RES000875,19.33,Brazilian,48,5.1,6.8
RES000876,18.05,American,,31.1,7.3
RES000877,77.26,Pizza,51,26.6,1.0
RES000878,23.14,American,25,17.0,4.5
RES000879,55.42,Indian,,19.9,9.6
RES000880,51.58,Burger,25,28.4,0.8
RES000881,103.8,Brazilian,16,54.4,8.1
RES000882,68.87,Italian,77,29.6,4.3
RES000883,68.63,French,41,4.6,9.9
RES000884,68.64,American,71,30.7,9.6
RES000885,19.46,Pizza,79,69.2,5.3
RES000886,79.55,Thai,81,40.0,6.2
RES000887,73.2,Indian,57,99.4,5.4
RES000888,98.15,Italian,,83.6,5.4
RES000889,26.25,American,,0.3,1.5
RES000890,27.87,Mediterranean,41,71.6,7.4
RES000891,71.5,Thai,79,40.3,2.0
RES000892,24.02,Mediterranean,77,75.1,2.7
RES000893,23.36,Pizza,,58.8,8.4
RES000894,18.46,Mexican,,25.9,2.3
RES000895,21.88,Brazilian,,90.7,9.4
RES000896,89.5,Pizza,87,85.1,5.3
RES000897,73.85,Mediterranean,44,45.5,2.3
RES000898,45.53,French,53,34.3,3.1
RES000899,21.12,Mediterranean,,33.7,5.0
RES000900,60.7,Indian,55,76.0,0.0
RES000901,60.38,Thai,,68.8,8.9
RES000902,32.45,Thai,84,69.1,9.4
RES000903,43.94,Mediterranean,34,1.8,3.9
RES000904,23.61,Brazilian,90,43.8,4.7
RES000905,89.53,Italian,41,53.6,6.8
RES000906,68.75,American,,65.4,3.0
RES000907,18.8,Indian,64,46.6,9.0
RES000908,40.36,Pizza,,87.3,5.4
RES000909,24.24,Mexican,35,94.4,4.5
RES000910,21.68,French,50,62.6,5.2
RES000911,87.65,French,72,98.8,5.8
RES000912,23.3,Indian,34,34.4,9.1
RES000913,20.72,Mexican,65,84.9,0.1
RES000914,22.2,Japanese,56,27.2,2.9
RES000915,67.55,Burger,29,49.6,7.6
RES000916,63.77,Pizza,33,6.1,2.5
RES000917,65.92,Brazilian,,97.3,1.4
RES000918,101.94,Indian,,4.5,2.1
RES000919,52.37,Japanese,,92.4,1.2
RES000920,89.15,Pizza,,57.9,1.5
RES000921,43.68,Pizza,,49.0,9.4
RES000922,19.55,Chinese,,66.2,1.0
RES000923,59.47,Chinese,87,54.6,6.8
RES000924,21.51,Mexican,76,5.1,3.2
RES000925,77.15,Brazilian,,78.2,9.6
RES000926,102.36,Burger,30,38.1,6.8
RES000927,87.31,American,52,81.2,7.6
RES000928,74.37,Thai,,14.6,1.7
RES000929,24.99,Japanese,26,13.9,1.5
RES000930,88.19,American,75,92.7,7.5
RES000931,17.07,Mediterranean,,2.1,9.4
RES000932,39.34,Chinese,,49.4,9.4
RES000933,23.89,Burger,,15.9,0.9
RES000934,51.08,Brazilian,,40.7,0.9
RES000935,20.52,Pizza,,94.0,2.6
RES000936,62.63,Mediterranean,41,29.9,5.2
RES000937,103.73,Japanese,84,38.6,5.3
RES000938,38.85,Burger,21,22.7,10.0
RES000939,64.19,Chinese,,23.0,6.4
RES000940,89.9,Thai,,63.2,0.3
RES000941,39.92,Thai,,85.0,4.2
RES000942,51.49,Mexican,74,15.6,9.5
RES000943,20.01,Mediterranean,,39.5,3.7
RES000944,47.86,Burger,21,16.6,2.5
RES000945,93.1,French,49,54.9,7.9
RES000946,86.97,Mediterranean,73,17.0,7.0
RES000947,63.67,Brazilian,,11.6,8.5
RES000948,79.92,Burger,,40.7,1.7
RES000949,17.46,French,,10.9,2.3
RES000950,94.61,Pizza,92,27.7,2.1
RES000951,42.31,Thai,64,12.9,7.1
RES000952,66.33,Mediterranean,,27.1,0.7
RES000953,103.64,Thai,,37.2,3.6
RES000954,41.9,Brazilian,,90.2,3.3
RES000955,112.88,Burger,96,27.0,4.2
RES000956,23.58,American,52,31.3,1.0
RES000957,24.07,Mediterranean,,50.8,6.1
RES000958,54.81,Chinese,68,44.6,8.1
RES000959,25.22,Brazilian,,69.4,9.1
RES000960,51.22,Chinese,25,82.0,5.1
RES000961,76.71,Indian,,24.6,9.7
RES000962,22.02,Chinese,49,28.2,7.1
RES000963,74.58,Brazilian,52,74.9,0.2
RES000964,106.26,Italian,20,1.5,5.6
RES000965,50.68,Thai,63,44.3,6.2
RES000966,56.46,Mexican,61,69.7,5.3
RES000967,25.51,Japanese,30,41.4,7.0
RES000968,37.19,Indian,52,93.8,1.9
RES000969,21.52,Pizza,27,99.6,0.4
RES000970,35.73,Mediterranean,58,33.4,9.8
RES000971,38.69,Mediterranean,,47.4,2.1
RES000972,52.16,Indian,,68.0,5.0
RES000973,21.75,Mediterranean,,5.7,8.1
RES000974,112.59,Mediterranean,47,8.0,7.5
RES000975,24.0,Mexican,32,15.0,1.8
RES000976,40.66,Chinese,47,54.4,9.5
RES000977,23.69,French,57,80.8,0.1
RES000978,22.28,Japanese,72,83.4,5.2
RES000979,80.55,Burger,73,42.1,8.4
RES000980,47.2,Mexican,,72.1,6.7
RES000981,56.5,French,84,80.9,5.4
RES000982,99.43,Mediterranean,,70.1,3.6
RES000983,86.63,Japanese,,71.4,9.6
RES000984,69.95,Japanese,25,15.6,0.3
RES000985,24.44,Brazilian,,45.5,3.9
RES000986,22.3,Thai,60,49.4,9.0
RES000987,34.93,Japanese,29,58.6,9.5
RES000988,43.71,Burger,79,65.8,4.6
RES000989,73.34,Burger,,61.5,8.6
RES000990,23.99,Italian,81,9.8,1.1
RES000991,23.19,Mediterranean,,6.6,6.1
RES000992,86.16,Pizza,47,24.8,3.4
RES000993,94.56,Mexican,87,50.6,4.6
RES000994,101.02,Indian,,3.5,0.1
RES000995,48.12,Brazilian,,72.5,3.9
RES000996,40.64,Thai,69,33.5,7.9
RES000997,75.75,Indian,,47.0,8.6
RES000998,66.4,Brazilian,,94.6,6.3
RES000999,103.12,Brazilian,47,36.5,4.5
RES001000,41.52,Brazilian,,86.4,6.5
RES001001,26.2,Brazilian,,57.5,8.3
RES001002,41.4,Japanese,71,89.0,6.7
RES001003,63.33,American,,81.1,2.4
RES001004,63.23,Thai,86,77.0,3.9
RES001005,80.16,American,78,24.7,2.3
RES001006,55.94,Pizza,33,77.5,2.1
RES001007,73.69,Japanese,32,61.3,8.3
RES001008,47.86,Burger,38,25.9,8.1
RES001009,76.73,Mexican,91,2.9,1.9
RES001010,24.59,French,78,12.4,1.2
RES001011,44.92,Brazilian,33,39.8,5.9
RES001012,20.22,Indian,54,7.5,6.8
RES001013,91.46,Brazilian,88,4.8,8.4
RES001014,68.99,Japanese,,96.7,9.2
RES001015,48.85,Brazilian,80,92.7,4.3
RES001016,44.33,Chinese,50,10.4,5.1
RES001017,52.4,Brazilian,72,63.7,5.1
RES001018,23.69,Indian,47,94.8,7.4
RES001019,23.88,Mediterranean,83,6.9,1.7
RES001020,55.6,Indian,33,2.3,3.0
RES001021,71.58,French,,96.7,2.4
RES001022,59.16,Chinese,40,44.7,6.4
RES001023,21.36,Mediterranean,,83.8,8.5
RES001024,101.55,Brazilian,49,82.4,8.3
RES001025,67.24,Burger,38,44.2,3.4
RES001026,21.12,Italian,87,93.0,9.6
RES001027,20.05,Burger,69,6.8,2.0
RES001028,38.78,American,55,52.8,3.7
RES001029,77.39,Mexican,66,74.6,2.8
RES001030,55.29,Indian,82,29.6,3.5
RES001031,22.05,Chinese,,65.1,0.7
RES001032,64.81,Indian,50,57.3,8.0
RES001033,50.08,Burger,,5.4,6.2
RES001034,99.06,Japanese,,29.4,8.5
RES001035,30.85,Mediterranean,35,74.2,3.3
RES001036,25.24,Chinese,,60.7,2.5
RES001037,67.49,Chinese,53,54.7,7.6
RES001038,43.43,Pizza,77,88.4,9.6
RES001039,22.27,Pizza,,60.8,5.1
RES001040,24.05,Italian,,20.7,5.3
RES001041,19.32,Thai,,58.0,3.3
RES001042,25.27,Chinese,,99.9,0.2
RES001043,91.04,Italian,75,36.0,0.4
RES001044,93.7,American,,75.7,3.5
RES001045,55.59,Italian,85,85.0,3.3
RES001046,58.69,French,90,88.4,4.4
RES001047,22.68,Japanese,,89.6,9.1
RES001048,61.85,Burger,63,52.6,4.7
RES001049,80.32,Chinese,63,63.7,0.3
RES001050,50.75,Indian,,23.0,0.7
RES001051,20.23,Pizza,40,32.4,2.3
RES001052,93.67,Indian,97,1.2,9.6
RES001053,78.73,Italian,,12.1,9.7
RES001054,23.38,Thai,24,68.3,5.8
RES001055,20.34,Mediterranean,,16.4,3.3
RES001056,67.79,French,86,46.2,7.5
RES001057,22.62,Pizza,77,63.5,2.7
RES001058,91.34,Italian,,86.5,9.4
RES001059,85.83,Brazilian,74,69.9,7.2
RES001060,39.32,Mediterranean,,30.2,8.1
RES001061,88.16,Burger,44,8.4,7.0
RES001062,46.1,Burger,53,73.6,5.5
RES001063,16.16,Japanese,41,15.7,2.5
RES001064,95.26,American,56,27.8,10.0
RES001065,22.57,French,,53.6,7.2
RES001066,48.27,Mediterranean,84,21.4,9.3
RES001067,25.04,Mediterranean,54,41.4,6.0
RES001068,66.68,Pizza,75,19.8,1.5
RES001069,47.04,Italian,83,89.3,4.0
RES001070,23.37,Brazilian,70,99.3,1.6
RES001071,84.84,Brazilian,,33.5,1.2
RES001072,67.91,Italian,,4.9,9.8
RES001073,44.17,Chinese,,65.0,3.7
RES001074,54.84,Japanese,,57.6,8.2
RES001075,100.23,Chinese,36,17.6,7.7
RES001076,17.19,Chinese,,54.5,3.7
RES001077,84.81,Brazilian,,11.0,8.4
RES001078,100.85,French,28,95.4,3.3
RES001079,60.72,Mediterranean,,9.1,5.7
RES001080,23.67,Japanese,62,87.5,3.8
RES001081,22.02,Chinese,51,97.5,9.0
RES001082,63.41,French,,48.8,4.6
RES001083,85.38,Japanese,41,45.7,3.8
RES001084,69.85,Burger,92,64.7,8.9
RES001085,90.95,Burger,39,80.5,6.5
RES001086,89.71,Japanese,70,76.0,2.1
RES001087,25.96,Burger,,88.3,9.8
RES001088,101.22,Thai,,11.6,7.1
RES001089,111.01,American,58,36.2,7.1
RES001090,42.89,Thai,,79.8,8.2
RES001091,36.96,Italian,,52.9,0.8
RES001092,52.12,Indian,67,26.8,0.3
RES001093,69.76,French,39,44.8,2.2
RES001094,43.02,Pizza,50,79.3,0.7
RES001095,82.8,Brazilian,,84.4,3.5
RES001096,77.97,Burger,66,62.2,1.8
RES001097,41.42,Japanese,40,35.9,3.1
RES001098,46.75,French,81,10.8,1.5
RES001099,42.56,Indian,,69.0,7.0
RES001100,68.09,Japanese,43,10.3,4.9
RES001101,18.63,Italian,63,47.5,0.0
RES001102,20.45,Chinese,,86.5,4.8
RES001103,67.17,Pizza,63,75.4,7.0
RES001104,74.48,French,,88.3,1.4
RES001105,22.6,Pizza,40,11.9,6.5
RES001106,44.77,Chinese,31,61.1,5.3
RES001107,17.27,Indian,77,62.4,2.9
RES001108,18.62,Chinese,36,0.9,1.2
RES001109,49.42,Japanese,,43.2,4.0
RES001110,77.17,Mexican,24,85.0,6.0
RES001111,54.87,Italian,53,77.5,7.6
RES001112,38.61,Mexican,85,39.2,1.2
RES001113,20.32,American,32,9.3,5.3
RES001114,74.76,Burger,,9.4,5.0
RES001115,28.1,Indian,,98.1,10.0
RES001116,99.53,Indian,,43.8,2.2
RES001117,75.59,American,90,53.0,7.6
RES001118,41.97,Indian,21,86.9,5.8
RES001119,73.57,Burger,29,73.0,3.7
RES001120,69.78,Mediterranean,91,76.7,5.9
RES001121,25.89,Brazilian,52,30.9,9.3
RES001122,95.82,Indian,74,3.0,0.8
RES001123,24.17,French,78,61.2,3.7
RES001124,73.49,Mediterranean,,62.2,1.6
RES001125,27.91,Thai,12,29.3,3.0
RES001126,77.35,Thai,23,25.5,6.3
RES001127,98.41,American,,37.7,9.2
RES001128,37.98,Japanese,45,16.5,8.7
RES001129,47.02,Pizza,33,34.3,3.2
RES001130,90.78,Pizza,70,55.0,2.4
RES001131,83.38,Japanese,,9.1,0.3
RES001132,46.11,American,66,86.8,3.7
RES001133,91.88,Japanese,77,69.5,3.5
RES001134,58.35,French,,94.6,5.9
RES001135,40.99,Italian,45,29.4,3.2
RES001136,48.24,Mexican,60,39.7,2.1
RES001137,20.84,Brazilian,87,51.7,8.0
RES001138,23.13,Pizza,,73.3,3.0
RES001139,101.45,Italian,20,97.7,9.1
RES001140,88.71,French,74,38.1,2.4
RES001141,63.2,Indian,82,60.3,10.0
RES001142,65.6,American,,12.7,7.5
RES001143,86.13,Pizza,84,51.0,0.3
RES001144,72.63,Thai,65,56.6,9.7
RES001145,27.11,French,,4.1,9.9
RES001146,62.72,Burger,99,31.7,4.2
RES001147,81.18,Pizza,33,75.0,0.6
RES001148,68.89,Pizza,12,68.3,9.7
RES001149,72.69,French,63,95.1,3.8
RES001150,43.6,French,,43.0,3.4
RES001151,88.39,Burger,95,82.7,3.4
RES001152,29.86,Chinese,22,85.4,9.2
RES001153,24.53,Italian,,1.7,7.7
RES001154,21.95,Chinese,72,84.0,2.1
RES001155,62.8,Italian,21,34.2,2.0
RES001156,81.63,Pizza,30,54.1,8.4
RES001157,72.96,Mexican,43,28.6,8.4
RES001158,45.65,Japanese,75,43.7,1.5
RES001159,20.73,Thai,48,35.4,9.4
RES001160,36.72,Mediterranean,91,74.2,8.2
RES001161,49.63,Chinese,20,40.8,4.7
RES001162,71.62,American,,38.8,9.7
RES001163,40.17,Italian,81,62.7,6.7
RES001164,23.32,Indian,75,20.9,4.6
RES001165,27.3,Brazilian,52,84.5,8.7
RES001166,25.62,Brazilian,77,48.8,9.3
RES001167,66.36,Japanese,49,52.9,4.5
RES001168,74.34,Chinese,61,93.8,8.9
RES001169,23.14,American,,61.6,1.3
RES001170,19.23,Brazilian,63,11.5,1.6
RES001171,78.17,Italian,66,51.1,1.9
RES001172,26.47,Burger,85,53.7,0.3
RES001173,73.94,American,,59.5,4.8
RES001174,49.77,Pizza,89,91.2,5.9
RES001175,25.62,Italian,47,64.7,3.1
RES001176,67.06,Mexican,,36.3,0.6
RES001177,81.07,Chinese,51,75.6,7.7
RES001178,49.02,Mediterranean,63,59.2,3.5
RES001179,75.04,Japanese,,78.2,9.1
RES001180,43.08,Thai,76,97.9,9.4
RES001181,97.45,American,72,59.3,8.1
RES001182,64.67,Japanese,,56.1,8.3
RES001183,31.15,Thai,30,54.9,5.3
RES001184,82.44,Mexican,73,32.9,9.4
RES001185,26.46,Italian,50,0.3,8.1
RES001186,59.72,Mediterranean,52,33.8,3.8
RES001187,76.62,Japanese,74,31.2,1.8
RES001188,52.75,Indian,,77.7,2.3
RES001189,84.0,Chinese,39,5.4,9.9
RES001190,20.18,American,22,52.8,8.6
RES001191,102.51,Pizza,23,79.0,7.3
RES001192,55.44,American,,59.1,1.5
RES001193,49.74,Japanese,,73.7,8.4
RES001194,71.77,French,,20.9,6.2
RES001195,91.75,Chinese,,10.8,3.4
RES001196,22.25,Japanese,78,79.3,1.7
RES001197,87.98,Japanese,,98.3,7.3
RES001198,51.8,Burger,,69.2,8.9
RES001199,25.24,Brazilian,61,18.5,2.9
RES001200,62.65,Thai,,85.0,6.4
RES001201,21.75,Japanese,37,32.6,5.7
RES001202,52.46,Italian,,69.2,0.8
RES001203,25.87,Japanese,22,3.6,0.7
RES001204,20.31,Pizza,75,18.1,9.3
RES001205,40.09,Italian,,65.2,9.2
RES001206,24.19,Mediterranean,45,35.4,2.0
